nationality_id;nationality_value;nationality_abreviation;nationality_description;nationality_params;nationality_attributs;nationality_stat
228;Turkish;;;;;true
229;Turkmen;;;;;true
230;Turks and Caicos Island;;;;;true
231;Tuvaluan;;;;;true
232;Ugandan;;;;;true
233;Ukrainian;;;;;true
234;Emirati, Emirian, Emiri;;;;;true
235;British, UK;;;;;true
236;American;;;;;true
237;American;;;;;true
238;Uruguayan;;;;;true
239;Uzbekistani, Uzbek;;;;;true
240;Ni-Vanuatu, Vanuatuan;;;;;true
241;Venezuelan;;;;;true
242;Vietnamese;;;;;true
243;British Virgin Island;;;;;true
244;U.S. Virgin Island;;;;;true
245;Wallis and Futuna, Wallisian or Futunan;;;;;true
246;Sahrawi, Sahrawian, Sahraouian;;;;;true
247;Yemeni;;;;;true
248;Zambian;;;;;true
249;Zimbabwean;;;;;true
